Rule ID,Rule,EC number,Reaction order,Diameter,Score,,,
1.1.1.a.1.f,([CH:1]([C:2])([C:3])[OH:4])>>([C:1]([C:2])([C:3])=[O:4]),1.1.1.a.1.f,1,1,doubledirection,,,
1.1.1.a.1.r,([C:1]([C:2])([C:3])=[O:4])>>([CH:1]([C:2])([C:3])[OH:4]),1.1.1.a.1.r,1,1,doubledirection,,,
1.1.1.a.2.f,([CH2:1]([C:2])[OH:3])>>([CH:1]([C:2])=[O:3]),1.1.1.a.2.f,1,1,doubledirection,,,
1.1.1.a.2.r,([CH:1]([C:2])=[O:3])>>([CH2:1]([C:2])[OH:3]),1.1.1.a.2.r,1,1,doubledirection,,,
1.1.1.a.3.f,([CH3:1][OH:2])>>([CH:2]=[O:2]),1.1.1.a.3.f,1,1,doubledirection,,,
1.1.1.a.3.r,([CH:1]=[O:2])>>([CH3:1][OH:2]),1.1.1.a.3.r,1,1,doubledirection,,,
1.1.1.b.1.f,"([OH:1][CH,CH2:2][C:3][C:4][C:5](=[O:6])[C:7])>>([O:1]1[*:2][C:3][C:4][C:5]1([OH:6])[C:7])",1.1.1.b.1.f,1,1,doubledirection,,,
1.1.1.b.1.r,"([O:1]1[CH,CH2:2][C:3][C:4][C:5]1([OH:6])[C:7])>>([OH:1][*:2][C:3][C:4][C:5](=[O:6])[C:7])",1.1.1.b.1.r,1,1,doubledirection,,,
1.1.1.b.2.f,"([OH:1][CH,CH2:2][C:3][C:4][CH:5]=[O:6])>>([O:1]1[*:2][C:3][C:4][CH:5]1[OH:6])",1.1.1.b.2.f,1,1,doubledirection,,,
1.1.1.b.2.r,"([O:1]1[CH,CH2:2][C:3][C:4][CH:5]1[OH:6])>>([OH:1][*:2][C:3][C:4][CH:5]=[O:6])",1.1.1.b.2.r,1,1,doubledirection,,,
