(7, ('NCCCCC(N)C(=O)O',), ('NCCCCC(N)(CO)C(=O)O',), 14)
(6, ('NCCCCC(N)(CO)C(=O)O',), ('CC(N)(CO)(CCCN)C(=O)O',), 205)
(5, ('CC(N)(CO)(CCCN)C(=O)O',), ('CC(N)(C(=O)O)C(O)CCCN',), 959)
(4, ('CC(N)(C(=O)O)C(O)CCCN',), ('CC(N)C(=O)O',), 3230)
(3, ('CC(N)C(=O)O',), ('CC(N)(C(=O)O)C(=O)O',), 335)
(2, ('CC(N)(C(=O)O)C(=O)O',), ('CC(=O)(C(=O)O)C(=O)O',), 67)
(1, ('CC(=O)(C(=O)O)C(=O)O',), ('O=C(O)CC(=O)C(=O)O',), 9)

(7, ('NCCCCC(N)C(=O)O',), ('NCCCCC(N)(CO)C(=O)O',), 14)
(6, ('NCCCCC(N)(CO)C(=O)O',), ('CC(N)(CO)(CCCN)C(=O)O',), 205)
(5, ('CC(N)(CO)(CCCN)C(=O)O',), ('CC(N)(C(=O)O)C(O)CCCN',), 959)
(4, ('CC(N)(C(=O)O)C(O)CCCN',), ('CC(N)C(=O)O',), 3230)
(3, ('CC(N)C(=O)O',), ('CC(N)(C(=O)O)C(=O)O',), 335)
(2, ('CC(N)(C(=O)O)C(=O)O',), ('NC(CC(=O)O)C(=O)O',), 111)
(1, ('NC(CC(=O)O)C(=O)O',), ('O=C(O)CC(=O)C(=O)O',), 4)

(7, ('NCCCCC(N)C(=O)O',), ('NCCCCC(N)(CO)C(=O)O',), 14)
(6, ('NCCCCC(N)(CO)C(=O)O',), ('CC(N)(O)(CCCCN)C(=O)O',), 206)
(5, ('CC(N)(O)(CCCCN)C(=O)O',), ('CC(N)(C(=O)O)C(O)CCCN',), 1026)
(4, ('CC(N)(C(=O)O)C(O)CCCN',), ('CC(N)C(=O)O',), 3230)
(3, ('CC(N)C(=O)O',), ('CC(N)(C(=O)O)C(=O)O',), 335)
(2, ('CC(N)(C(=O)O)C(=O)O',), ('CC(=O)(C(=O)O)C(=O)O',), 67)
(1, ('CC(=O)(C(=O)O)C(=O)O',), ('O=C(O)CC(=O)C(=O)O',), 9)

(7, ('NCCCCC(N)C(=O)O',), ('NCCCCC(N)(CO)C(=O)O',), 14)
(6, ('NCCCCC(N)(CO)C(=O)O',), ('CC(N)(O)(CCCCN)C(=O)O',), 206)
(5, ('CC(N)(O)(CCCCN)C(=O)O',), ('CC(N)(C(=O)O)C(O)CCCN',), 1026)
