(6, ('DAHP',), ('PEP', 'E4P'), 'temp_ez_str')
(5, ('PEP',), ('2PG',), 'temp_ez_str')
(4, ('2PG',), ('3PG',), 'temp_ez_str')
(3, ('X5P', 'E4P'), ('F6P', 'GA3P'), 'temp_ez_str')
(3, ('3PG',), ('GA3P',), 'temp_ez_str')
(2, ('GA3P', 'DHAP'), ('F16bP',), 'temp_ez_str')
(1, ('F16bP',), ('F6P',), 'temp_ez_str')

(6, ('O=C(O)C(=O)CC(O)C(O)C(O)COP(=O)(O)O',), ('CC(=O)C(=O)O', 'O=CC(O)C(O)COP(=O)(O)O'), 'temp_ez_str')
(5, ('CC(=O)C(=O)O',), ('NC(CO)C(=O)O',), 'temp_ez_str')
(5, ('O=CC(O)C(O)COP(=O)(O)O',), ('O=CC1OC1COP(=O)(O)O',), 'temp_ez_str')
(4, ('NC(CO)C(=O)O',), ('O=C(O)C(=O)CO',), 'temp_ez_str')
(4, ('O=CC1OC1COP(=O)(O)O',), ('O=P(O)(O)OCC1OC1CO',), 'temp_ez_str')
(3, ('O=P(O)(O)OCC1OC1CO',), ('O=P(O)(O)OCC(O)C(O)CO',), 'temp_ez_str')
(3, ('O=CC(O)C(O)COP(=O)(O)O', 'O=C(O)C(=O)CO'), ('O=C(CO)C(O)C(O)C(O)COP(=O)(O)O',), 'temp_ez_str')
(2, ('O=P(O)(O)OCC(O)(O)C(O)CO', 'O=P(O)(O)OCC(O)C(O)CO'), ('O=P(O)(O)OCC1OC(O)(COP(=O)(O)O)C(O)C1O',), 'temp_ez_str')
(2, ('O=C(CO)C(O)C(O)C(O)COP(=O)(O)O',), ('O=P(O)(O)OCC1OC(O)(CO)C(O)C1O',), 'temp_ez_str')
(1, ('O=P(O)(O)OCC1OC(O)(COP(=O)(O)O)C(O)C1O',), ('O=P(O)(O)OCC1OC(O)(CO)C(O)C1O',), 'temp_ez_str')

(6, ('O=C(O)C(=O)CC(O)C(O)C(O)COP(=O)(O)O',), ('CC(=O)C(=O)O', 'O=CC(O)C(O)COP(=O)(O)O'), 'temp_ez_str')
(5, ('CC(=O)C(=O)O',), ('NC(CO)C(=O)O',), 'temp_ez_str')
(5, ('O=CC(O)C(O)COP(=O)(O)O',), ('O=CC1OC1COP(=O)(O)O',), 'temp_ez_str')
(4, ('NC(CO)C(=O)O',), ('O=C(O)C(=O)CO',), 'temp_ez_str')
(4, ('O=CC1OC1COP(=O)(O)O',), ('O=P(O)(O)OCC1OC1CO',), 'temp_ez_str')
(3, ('O=P(O)(O)OCC1OC1CO',), ('O=P(O)(O)OCC(O)C(O)CO',), 'temp_ez_str')
(3, ('O=CC(O)C(O)COP(=O)(O)O', 'O=C(O)C(=O)CO'), ('O=C(CO)C(O)C(O)C(O)COP(=O)(O)O',), 'temp_ez_str')
(2, ('O=CC(O)(O)C(O)CO', 'O=P(O)(O)OCC(O)C(O)CO'), ('O=CC1(O)OC(COP(=O)(O)O)C(O)C1O',), 'temp_ez_str')
(2, ('O=C(CO)C(O)C(O)C(O)COP(=O)(O)O',), ('O=P(O)(O)OCC1OC(O)(CO)C(O)C1O',), 'temp_ez_str')
