(4, ('D-Glucose',), ('O=CC(O)C(O)C(O)C(O)CO',), ('1.1.1.c.2.r',))
(3, ('O=CC(O)C(O)C(O)C(O)CO',), ('Glycolaldehyde', 'D-Threose'), ('4.1.2.b.2.r', '4.1.2.b.2.f'))
(2, ('Glycolaldehyde',), ('O=C(CO)OP(=O)(O)O',), ('1.2.1.t.3.r',))
(2, ('D-Threose',), ('Glycolaldehyde', 'Glycolaldehyde'), ('4.1.2.b.2.r',))
(1, ('Glycolaldehyde',), ('Glycolate',), ('1.2.1.a.1.r', '1.2.1.t.1.r'))
(1, ('O=C(CO)OP(=O)(O)O',), ('Glycolate',), ('2.7.1.a.1.f',))

(4, ('D-Glucose',), ('O=CC(O)C(O)C(O)C(O)CO',), ('1.1.1.c.2.r',))
(3, ('O=CC(O)C(O)C(O)C(O)CO',), ('Glycolaldehyde', 'D-Threose'), ('4.1.2.b.2.r', '4.1.2.b.2.f'))
(2, ('Glycolaldehyde',), ('Glycolate',), ('1.2.1.a.1.r', '1.2.1.t.1.r'))
(2, ('D-Threose',), ('Glycolaldehyde', 'Glycolaldehyde'), ('4.1.2.b.2.r',))
(1, ('Glycolaldehyde',), ('Glycolate',), ('1.2.1.a.1.r', '1.2.1.t.1.r'))

(5, ('D-Glucose',), ('O=CC(O)C(O)C(O)C(O)CO',), ('1.1.1.c.2.r',))
(4, ('O=CC(O)C(O)C(O)C(O)CO',), ('D-Xylose', 'Aldehyde'), ('4.1.2.38.3.r', '4.1.2.a.2.f'))
(3, ('D-Xylose',), ('D-Threose', 'Glyoxylate'), ('4.1.2.38.7.f',))
(3, ('Hydroxypyruvate', 'Aldehyde'), ('O=CC(O)(O)C(=O)CO',), ('4.1.2.a.2.f',))
(2, ('O=CC(O)(O)C(=O)CO',), ('Glyoxylate', 'Glycolaldehyde'), ('4.1.2.a.1.r',))
(2, ('D-Threose',), ('Glycolaldehyde', 'Glycolaldehyde'), ('4.1.2.b.2.r',))
(2, ('Aldehyde', 'Glyoxylate'), ('Glycolaldehyde',), ('4.1.2.38.8.r',))
(1, ('Glycolaldehyde',), ('Glycolate',), ('1.2.1.a.1.r', '1.2.1.t.1.r'))
(1, ('Glyoxylate',), ('Glycolate',), ('1.1.1.a.2.f', '1.1.1.t.1.f'))

(5, ('D-Glucose',), ('O=CC(O)C(O)C(O)C(O)CO',), ('1.1.1.c.2.r',))
(4, ('O=CC(O)C(O)C(O)C(O)CO',), ('D-Xylose', 'Aldehyde'), ('4.1.2.38.3.r', '4.1.2.a.2.f'))
(3, ('D-Xylose',), ('D-Threose', 'Glyoxylate'), ('4.1.2.38.7.f',))
(3, ('Hydroxypyruvate', 'Aldehyde'), ('O=CC(O)(O)C(=O)CO',), ('4.1.2.a.2.f',))
(2, ('O=CC(O)(O)C(=O)CO',), ('Glyoxylate', 'Glycolaldehyde'), ('4.1.2.a.1.r',))
(2, ('D-Threose',), ('Glycolaldehyde', 'Glycolaldehyde'), ('4.1.2.b.2.r',))
(2, ('Glyoxylate',), ('Glycolate',), ('1.1.1.a.2.f', '1.1.1.t.1.f'))
(1, ('Glycolaldehyde',), ('Glycolate',), ('1.2.1.a.1.r', '1.2.1.t.1.r'))
(1, ('Glyoxylate',), ('Glycolate',), ('1.1.1.a.2.f', '1.1.1.t.1.f'))

(5, ('D-Glucose',), ('O=CC(O)C(O)C(O)C(O)CO',), ('1.1.1.c.2.r',))
(4, ('O=CC(O)C(O)C(O)C(O)CO',), ('D-Xylose', 'Aldehyde'), ('4.1.2.38.3.r', '4.1.2.a.2.f'))
(3, ('D-Xylose',), ('D-Threose', 'Glyoxylate'), ('4.1.2.38.7.f',))
(3, ('Oxomalonate', 'Aldehyde'), ('O=CC(O)(O)C(=O)C(=O)O',), ('4.1.2.a.2.f',))
(2, ('O=CC(O)(O)C(=O)C(=O)O',), ('Glyoxylate', 'Glyoxylate'), ('4.1.2.a.1.r',))
(2, ('D-Threose',), ('Glycolaldehyde', 'Glycolaldehyde'), ('4.1.2.b.2.r',))
(2, ('Aldehyde', 'Glyoxylate'), ('Glycolaldehyde',), ('4.1.2.38.8.r',))
(1, ('Glycolaldehyde',), ('Glycolate',), ('1.2.1.a.1.r', '1.2.1.t.1.r'))
(1, ('Glyoxylate',), ('Glycolate',), ('1.1.1.a.2.f', '1.1.1.t.1.f'))

(5, ('D-Glucose',), ('O=CC(O)C(O)C(O)C(O)CO',), ('1.1.1.c.2.r',))
(4, ('O=CC(O)C(O)C(O)C(O)CO',), ('D-Xylose', 'Aldehyde'), ('4.1.2.38.3.r', '4.1.2.a.2.f'))
(3, ('D-Xylose',), ('D-Threose', 'Glyoxylate'), ('4.1.2.38.7.f',))
(3, ('Oxomalonate', 'Aldehyde'), ('O=CC(O)(O)C(=O)C(=O)O',), ('4.1.2.a.2.f',))
(2, ('O=CC(O)(O)C(=O)C(=O)O',), ('Glyoxylate', 'Glyoxylate'), ('4.1.2.a.1.r',))
(2, ('D-Threose',), ('Glycolaldehyde', 'Glycolaldehyde'), ('4.1.2.b.2.r',))
(2, ('Glyoxylate',), ('Glycolate',), ('1.1.1.a.2.f', '1.1.1.t.1.f'))
(1, ('Glycolaldehyde',), ('Glycolate',), ('1.2.1.a.1.r', '1.2.1.t.1.r'))
(1, ('Glyoxylate',), ('Glycolate',), ('1.1.1.a.2.f', '1.1.1.t.1.f'))

(5, ('D-Glucose',), ('O=CC(O)C(O)C(O)C(O)CO',), ('1.1.1.c.2.r',))
(4, ('O=CC(O)C(O)C(O)C(O)CO',), ('D-Xylose', 'Aldehyde'), ('4.1.2.38.3.r', '4.1.2.a.2.f'))
(3, ('D-Xylose',), ('D-Threose', 'Glyoxylate'), ('4.1.2.38.7.f',))
(3, ('2-Hydroxy-3-oxopropanoate', 'Aldehyde'), ('O=CC(O)C(O)(O)C=O',), ('4.1.2.a.2.f',))
(2, ('O=CC(O)C(O)(O)C=O',), ('Glycolaldehyde', 'Glyoxylate'), ('4.1.2.b.2.r',))
(2, ('D-Threose',), ('Glycolaldehyde', 'Glycolaldehyde'), ('4.1.2.b.2.r',))
(2, ('Aldehyde', 'Glyoxylate'), ('Glycolaldehyde',), ('4.1.2.38.8.r',))
(1, ('Glycolaldehyde',), ('Glycolate',), ('1.2.1.a.1.r', '1.2.1.t.1.r'))
(1, ('Glyoxylate',), ('Glycolate',), ('1.1.1.a.2.f', '1.1.1.t.1.f'))

(5, ('D-Glucose',), ('O=CC(O)C(O)C(O)C(O)CO',), ('1.1.1.c.2.r',))
(4, ('O=CC(O)C(O)C(O)C(O)CO',), ('D-Xylose', 'Aldehyde'), ('4.1.2.38.3.r', '4.1.2.a.2.f'))
(3, ('D-Xylose',), ('D-Threose', 'Glyoxylate'), ('4.1.2.38.7.f',))
(3, ('2-Hydroxy-3-oxopropanoate', 'Aldehyde'), ('O=CC(O)C(O)(O)C=O',), ('4.1.2.a.2.f',))
(2, ('O=CC(O)C(O)(O)C=O',), ('Glycolaldehyde', 'Glyoxylate'), ('4.1.2.b.2.r',))
(2, ('D-Threose',), ('Glycolaldehyde', 'Glycolaldehyde'), ('4.1.2.b.2.r',))
(2, ('Glyoxylate',), ('Glycolate',), ('1.1.1.a.2.f', '1.1.1.t.1.f'))
(1, ('Glycolaldehyde',), ('Glycolate',), ('1.2.1.a.1.r', '1.2.1.t.1.r'))
(1, ('Glyoxylate',), ('Glycolate',), ('1.1.1.a.2.f', '1.1.1.t.1.f'))

(5, ('D-Glucose',), ('O=CC(O)C(O)C(O)C(O)CO',), ('1.1.1.c.2.r',))
(4, ('O=CC(O)C(O)C(O)C(O)CO',), ('D-Xylose', 'Aldehyde'), ('4.1.2.38.3.r', '4.1.2.a.2.f'))
(3, ('D-Xylose',), ('D-Threose', 'Glyoxylate'), ('4.1.2.38.7.f',))
(3, ('O=CC(=O)COC(=O)CO', 'Aldehyde'), ('O=CC(O)C(=O)COC(=O)CO',), ('4.1.2.38.3.r', '4.1.2.a.2.f'))
(2, ('O=CC(O)C(=O)COC(=O)CO',), ('O=C(O)COC(=O)CO', 'Glycolaldehyde'), ('3.7.1.a.3.r',))
(2, ('D-Threose',), ('Glycolaldehyde', 'Glycolaldehyde'), ('4.1.2.b.2.r',))
(2, ('Aldehyde', 'Glyoxylate'), ('Glycolaldehyde',), ('4.1.2.38.8.r',))
(1, ('O=C(O)COC(=O)CO',), ('Glycolate', 'Glycolate'), ('3.1.1.a.1.r',))
(1, ('Glycolaldehyde',), ('Glycolate',), ('1.2.1.a.1.r', '1.2.1.t.1.r'))

(5, ('D-Glucose',), ('O=CC(O)C(O)C(O)C(O)CO',), ('1.1.1.c.2.r',))
(4, ('O=CC(O)C(O)C(O)C(O)CO',), ('D-Xylose', 'Aldehyde'), ('4.1.2.38.3.r', '4.1.2.a.2.f'))
(3, ('D-Xylose',), ('D-Threose', 'Glyoxylate'), ('4.1.2.38.7.f',))
(3, ('O=CC(=O)COC(=O)CO', 'Aldehyde'), ('O=CC(O)C(=O)COC(=O)CO',), ('4.1.2.38.3.r', '4.1.2.a.2.f'))
(2, ('O=CC(O)C(=O)COC(=O)CO',), ('O=C(O)COC(=O)CO', 'Glycolaldehyde'), ('3.7.1.a.3.r',))
(2, ('D-Threose',), ('Glycolaldehyde', 'Glycolaldehyde'), ('4.1.2.b.2.r',))
(2, ('Glyoxylate',), ('Glycolate',), ('1.1.1.a.2.f', '1.1.1.t.1.f'))
(1, ('O=C(O)COC(=O)CO',), ('Glycolate', 'Glycolate'), ('3.1.1.a.1.r',))
(1, ('Glycolaldehyde',), ('Glycolate',), ('1.2.1.a.1.r', '1.2.1.t.1.r'))

(5, ('D-Glucose',), ('O=CC(O)C(O)C(O)C(O)CO',), ('1.1.1.c.2.r',))
(4, ('O=CC(O)C(O)C(O)C(O)CO',), ('D-Xylose', 'Aldehyde'), ('4.1.2.38.3.r', '4.1.2.a.2.f'))
(3, ('D-Xylose',), ('D-Threose', 'Glyoxylate'), ('4.1.2.38.7.f',))
(3, ('Aldehyde', 'NC(O)C(O)C=O'), ('NC(O)(CO)C(O)C=O',), ('4.1.2.c.1.f',))
(2, ('D-Threose',), ('Glycolaldehyde', 'Glycolaldehyde'), ('4.1.2.b.2.r',))
