(5, ('CCCCCCO',), ('CCCC=CCO',), 28)
(4, ('CCCC=CCO',), ('CCCC=CC=O',), 1180)
(3, ('CCCC=CC=O',), ('CCCC(O)CC=O',), 166281)
(2, ('CCCC(O)CC=O',), ('CC=O', 'CCCC=O'), 1005)
(1, ('CC=O',), ('CC(=O)C(=O)O',), 13)
(1, ('CCCC=O',), ('CCCCO',), 2)

(5, ('CCCCCCO',), ('CCCC=CCO',), 28)
(4, ('CCCC=CCO',), ('CCCC=CC=O',), 1180)
(3, ('CCCC=CC=O',), ('CCCC(O)CC=O',), 166281)
(2, ('CCCC(O)CC=O',), ('CC=O', 'CCCC=O'), 1005)
(1, ('CC=O',), ('CC(=O)C(=O)O',), 14)
(1, ('CCCC=O',), ('CCCCO',), 2)

(5, ('CCCCCCO',), ('CCCCCC=O',), 25)
(4, ('CCCCCC=O',), ('CCCC=CC=O',), 1186)
(3, ('CCCC=CC=O',), ('CCCC(O)CC=O',), 166281)
(2, ('CCCC(O)CC=O',), ('CC=O', 'CCCC=O'), 1005)
(1, ('CC=O',), ('CC(=O)C(=O)O',), 13)
(1, ('CCCC=O',), ('CCCCO',), 2)

(5, ('CCCCCCO',), ('CCCCCC=O',), 25)
(4, ('CCCCCC=O',), ('CCCC=CC=O',), 1186)
(3, ('CCCC=CC=O',), ('CCCC(O)CC=O',), 166281)
(2, ('CCCC(O)CC=O',), ('CC=O', 'CCCC=O'), 1005)
(1, ('CC=O',), ('CC(=O)C(=O)O',), 14)
(1, ('CCCC=O',), ('CCCCO',), 2)

(5, ('CCCCCCO',), ('CCCCCC=O',), 25)
(4, ('CCCCCC=O',), ('CCCC=CC=O',), 1187)
(3, ('CCCC=CC=O',), ('CCCC(O)CC=O',), 166281)
(2, ('CCCC(O)CC=O',), ('CC=O', 'CCCC=O'), 1005)
(1, ('CC=O',), ('CC(=O)C(=O)O',), 13)
(1, ('CCCC=O',), ('CCCCO',), 2)

(5, ('CCCCCCO',), ('CCCCCC=O',), 25)
(4, ('CCCCCC=O',), ('CCCC=CC=O',), 1187)
(3, ('CCCC=CC=O',), ('CCCC(O)CC=O',), 166281)
(2, ('CCCC(O)CC=O',), ('CC=O', 'CCCC=O'), 1005)
(1, ('CC=O',), ('CC(=O)C(=O)O',), 14)
(1, ('CCCC=O',), ('CCCCO',), 2)

(5, ('CCCCCCO',), ('CCCCCC=O',), 25)
(4, ('CCCCCC=O',), ('CCCC=CC=O',), 1187)
(3, ('CCCC=CC=O',), ('CCCC(O)CC=O',), 184501)
(2, ('CCCC(O)CC=O',), ('CC=O', 'CCCC=O'), 1005)
(1, ('CC=O',), ('CC(=O)C(=O)O',), 14)
(1, ('CCCC=O',), ('CCCCO',), 2)

(5, ('CCCCCCO',), ('CCCCCC=O',), 25)
(4, ('CCCCCC=O',), ('CCCC=CC=O',), 1187)
(3, ('CCCC=CC=O',), ('CCCC(O)CC=O',), 184501)
(2, ('CCCC(O)CC=O',), ('CC=O', 'CCCC=O'), 1005)
(1, ('CC=O',), ('CC(=O)C(=O)O',), 13)
(1, ('CCCC=O',), ('CCCCO',), 2)

(5, ('CCCCCCO',), ('CCCCCC=O',), 25)
(4, ('CCCCCC=O',), ('CCCC=CC=O',), 1187)
(3, ('CCCC=CC=O',), ('CCCC(O)CC=O',), 184502)
(2, ('CCCC(O)CC=O',), ('CC=O', 'CCCC=O'), 1005)
(1, ('CC=O',), ('CC(=O)C(=O)O',), 14)
(1, ('CCCC=O',), ('CCCCO',), 2)

(5, ('CCCCCCO',), ('CCCCCC=O',), 25)
(4, ('CCCCCC=O',), ('CCCC=CC=O',), 1187)
(3, ('CCCC=CC=O',), ('CCCC(O)CC=O',), 184502)
(2, ('CCCC(O)CC=O',), ('CC=O', 'CCCC=O'), 1005)
(1, ('CC=O',), ('CC(=O)C(=O)O',), 13)
(1, ('CCCC=O',), ('CCCCO',), 2)

(5, ('CCCCCCO',), ('CCCCCC=O',), 25)
(4, ('CCCCCC=O',), ('CCCC=CC=O',), 1186)
(3, ('CCCC=CC=O',), ('CCCC(O)CC=O',), 184501)
(2, ('CCCC(O)CC=O',), ('CC=O', 'CCCC=O'), 1005)
(1, ('CC=O',), ('CC(=O)C(=O)O',), 14)
(1, ('CCCC=O',), ('CCCCO',), 2)

(5, ('CCCCCCO',), ('CCCCCC=O',), 25)
(4, ('CCCCCC=O',), ('CCCC=CC=O',), 1186)
(3, ('CCCC=CC=O',), ('CCCC(O)CC=O',), 184501)
(2, ('CCCC(O)CC=O',), ('CC=O', 'CCCC=O'), 1005)
(1, ('CC=O',), ('CC(=O)C(=O)O',), 13)
(1, ('CCCC=O',), ('CCCCO',), 2)

(5, ('CCCCCCO',), ('CCCCCC=O',), 25)
(4, ('CCCCCC=O',), ('CCCC=CC=O',), 1186)
(3, ('CCCC=CC=O',), ('CCCC(O)CC=O',), 184502)
(2, ('CCCC(O)CC=O',), ('CC=O', 'CCCC=O'), 1005)
(1, ('CC=O',), ('CC(=O)C(=O)O',), 14)
(1, ('CCCC=O',), ('CCCCO',), 2)

(5, ('CCCCCCO',), ('CCCCCC=O',), 25)
(4, ('CCCCCC=O',), ('CCCC=CC=O',), 1186)
(3, ('CCCC=CC=O',), ('CCCC(O)CC=O',), 184502)
(2, ('CCCC(O)CC=O',), ('CC=O', 'CCCC=O'), 1005)
(1, ('CC=O',), ('CC(=O)C(=O)O',), 13)
(1, ('CCCC=O',), ('CCCCO',), 2)

