(4, ('OCC1OC(O)C(O)C(O)C1O',), ('O=CC(O)C(O)C(O)C(O)CO',), 13)
(3, ('O=CC(O)C(O)C(O)C(O)CO',), ('O=CCO', 'O=CC(O)C(O)CO'), 501)
(2, ('O=CCO',), ('O=C(CO)OP(=O)(O)O',), 158)
(2, ('O=CC(O)C(O)CO',), ('O=CCO', 'O=CCO'), 114)
(1, ('O=C(CO)OP(=O)(O)O',), ('O=C(O)CO',), 2)
(1, ('O=CCO',), ('O=C(O)CO',), 1)

(4, ('OCC1OC(O)C(O)C(O)C1O',), ('O=CC(O)C(O)C(O)C(O)CO',), 13)
(3, ('O=CC(O)C(O)C(O)C(O)CO',), ('O=CCO', 'O=CC(O)C(O)CO'), 501)
(2, ('O=CCO',), ('O=C(O)CO',), 1)
(2, ('O=CC(O)C(O)CO',), ('O=CCO', 'O=CCO'), 114)
(1, ('O=CCO',), ('O=C(O)CO',), 1)

(5, ('OCC1OC(O)C(O)C(O)C1O',), ('O=CC(O)C(O)C(O)C(O)CO',), 13)
(4, ('O=CC(O)C(O)C(O)C(O)CO',), ('O=CCO', 'O=CC(O)C(O)CO'), 501)
(3, ('O=CCO',), ('O=CC=O',), 659)
(3, ('O=CC(O)C(O)CO',), ('O=CC(O)CO', 'C=O'), 1715)
(2, ('O=CC=O',), ('O=CC(=O)O',), 44)
(2, ('O=CC(O)CO',), ('O=CCO', 'O=CC(=O)O'), 97)
(2, ('C=O', 'NC=O'), ('NC(=O)CO',), 124)
(1, ('O=CC(=O)O',), ('O=C(O)CO',), 0)
(1, ('NC(=O)CO',), ('O=C(O)CO',), 7)
(1, ('O=CCO',), ('O=C(O)CO',), 1)

(5, ('OCC1OC(O)C(O)C(O)C1O',), ('O=CC(O)C(O)C(O)C(O)CO',), 13)
(4, ('O=CC(O)C(O)C(O)C(O)CO',), ('O=CCO', 'O=CC(O)C(O)CO'), 501)
(3, ('O=CCO',), ('O=CC=O',), 659)
(3, ('O=CC(O)C(O)CO',), ('O=CC(O)CO', 'C=O'), 1715)
(2, ('O=CC=O',), ('O=CC(=O)O',), 44)
(2, ('O=CC(O)CO',), ('O=CCO', 'O=CC(=O)O'), 97)
(2, ('C=O',), ('O=CC(=O)O',), 113)
(1, ('O=CC(=O)O',), ('O=C(O)CO',), 0)
(1, ('O=CCO',), ('O=C(O)CO',), 1)

(5, ('OCC1OC(O)C(O)C(O)C1O',), ('O=CC(O)C(O)C(O)C(O)CO',), 13)
(4, ('O=CC(O)C(O)C(O)C(O)CO',), ('O=CCO', 'O=CC(O)C(O)CO'), 501)
(3, ('O=CCO',), ('O=CC=O',), 659)
(3, ('O=CC(O)C(O)CO',), ('O=CC(O)CO', 'O=CC(=O)O'), 1828)
(2, ('O=CC=O',), ('O=CC(=O)O',), 44)
(2, ('O=CC(=O)O',), ('O=C(O)CO',), 0)
(2, ('O=CC(O)CO',), ('O=CCO', 'O=CC(=O)O'), 97)
(1, ('O=CC(=O)O',), ('O=C(O)CO',), 0)
(1, ('O=CCO',), ('O=C(O)CO',), 1)

(5, ('OCC1OC(O)C(O)C(O)C1O',), ('O=CC(O)C(O)C(O)C(O)CO',), 13)
(4, ('O=CC(O)C(O)C(O)C(O)CO',), ('O=CCO', 'O=CC(O)C(O)CO'), 501)
(3, ('O=CCO',), ('O=CC=O',), 659)
(3, ('O=CC(O)C(O)CO',), ('O=CCO', 'O=CCO'), 114)
(2, ('O=CC=O',), ('O=CC(=O)O',), 44)
(2, ('O=CCO',), ('O=C(CO)OP(=O)(O)O',), 158)
(1, ('O=CC(=O)O',), ('O=C(O)CO',), 0)
(1, ('O=C(CO)OP(=O)(O)O',), ('O=C(O)CO',), 2)

(5, ('OCC1OC(O)C(O)C(O)C1O',), ('O=CC(O)C(O)C(O)C(O)CO',), 13)
(4, ('O=CC(O)C(O)C(O)C(O)CO',), ('O=CCO', 'O=CC(O)C(O)CO'), 501)
(3, ('O=CCO',), ('O=CC=O',), 659)
(3, ('O=CC(O)C(O)CO',), ('O=CCO', 'O=CCO'), 114)
(2, ('O=CC=O',), ('O=CC(=O)O',), 44)
(2, ('O=CCO',), ('O=C(O)CO',), 1)
(1, ('O=CC(=O)O',), ('O=C(O)CO',), 0)

(5, ('OCC1OC(O)C(O)C(O)C1O',), ('O=CC(O)C(O)C(O)C(O)CO',), 13)
(4, ('O=CC(O)C(O)C(O)C(O)CO',), ('O=CCO', 'O=CC(O)C(O)CO'), 501)
(3, ('O=CCO', 'O=C(O)C(=O)C(=O)O'), ('O=C(O)C(=O)C(O)CO',), 1832)
(3, ('O=CC(O)C(O)CO',), ('O=CC(O)CO', 'C=O'), 1715)
(2, ('O=CC(O)CO',), ('O=CCO', 'O=CC(=O)O'), 97)
(2, ('O=C(O)C(=O)C(O)CO',), ('O=CCO', 'O=CC(=O)O'), 95)
(2, ('C=O', 'O=CC(=O)O'), ('O=CCO',), 99)
(1, ('O=CC(=O)O',), ('O=C(O)CO',), 0)
(1, ('O=CCO',), ('O=C(O)CO',), 1)

