(7, ('C=C(C)CCO',), ('CC(O)(CCO)CC(=O)O',), 23)
(6, ('CC(O)(CCO)CC(=O)O',), ('CC(O)(CC=O)CC(=O)O',), 206)
(5, ('CC(O)(CC=O)CC(=O)O',), ('CC=O', 'CC(=O)CC(=O)O'), 1987)
(4, ('NC(=O)O', 'CC=O'), ('NC(=O)CC=O',), 14968)
(4, ('CC(=O)CC(=O)O',), ('CC(N)CC(=O)O',), 457)
(3, ('CC(N)CC(=O)O',), ('NCCCC(=O)O',), 1579)
(3, ('NC(=O)CC=O', 'NCC(=O)O'), ('NC(=O)CC(O)C(N)C(=O)O',), 1163)
(2, ('NCCCC(=O)O',), ('NC(CCC(=O)O)C(=O)O',), 124)
(2, ('NC(=O)CC(O)C(N)C(=O)O',), ('NC(=O)CC=C(N)C(=O)O',), 141)
(1, ('NC(=O)CC=C(N)C(=O)O',), ('NC(=O)CCC(N)C(=O)O',), 2)
(1, ('NC(CCC(=O)O)C(=O)O',), ('NC(=O)CCC(N)C(=O)O',), 4)

(7, ('C=C(C)CCO',), ('CC(O)(CCO)CC(=O)O',), 23)
(6, ('CC(O)(CCO)CC(=O)O',), ('CC(O)(CC=O)CC(=O)O',), 206)
(5, ('CC(O)(CC=O)CC(=O)O',), ('CC=O', 'CC(=O)CC(=O)O'), 1987)
(4, ('NC(=O)O', 'CC=O'), ('NC(=O)CC=O',), 14968)
(4, ('CC(=O)CC(=O)O',), ('CC(N)CC(=O)O',), 457)
(3, ('CC(N)CC(=O)O',), ('NCCCC(=O)O',), 1579)
(3, ('NC(=O)CC=O', 'NCC(=O)O'), ('NC(=O)CC(O)C(N)C(=O)O',), 1163)
(2, ('NCCCC(=O)O',), ('NC(CCC(=O)O)C(=O)O',), 124)
(2, ('NC(=O)CC(O)C(N)C(=O)O',), ('NC(=O)CCC(=O)C(=O)O',), 158)
(1, ('NC(CCC(=O)O)C(=O)O',), ('NC(=O)CCC(N)C(=O)O',), 4)
(1, ('NC(=O)CCC(=O)C(=O)O',), ('NC(=O)CCC(N)C(=O)O',), 3)

(7, ('C=C(C)CCO',), ('CC(O)(CCO)CC(=O)O',), 23)
(6, ('CC(O)(CCO)CC(=O)O',), ('CC(O)(CC=O)CC(=O)O',), 206)
(5, ('CC(O)(CC=O)CC(=O)O',), ('CC=O', 'CC(=O)CC(=O)O'), 1987)
(4, ('NC(=O)O', 'CC=O'), ('NC(=O)CC=O',), 14968)
(4, ('CC(=O)CC(=O)O',), ('CC(N)CC(=O)O',), 457)
(3, ('CC(N)CC(=O)O',), ('NCCCC(=O)O',), 1579)
(3, ('NC(=O)CC=O', 'NCC(=O)O'), ('NC(=O)CC(O)C(N)C(=O)O',), 1163)
(2, ('NCCCC(=O)O',), ('NCCCC(N)=O',), 80)
(2, ('NC(=O)CC(O)C(N)C(=O)O',), ('NC(=O)CC=C(N)C(=O)O',), 141)
(1, ('NC(=O)CC=C(N)C(=O)O',), ('NC(=O)CCC(N)C(=O)O',), 2)
(1, ('NCCCC(N)=O',), ('NC(=O)CCC(N)C(=O)O',), 7)

(7, ('C=C(C)CCO',), ('CC(O)(CCO)CC(=O)O',), 23)
(6, ('CC(O)(CCO)CC(=O)O',), ('CC(O)(CC=O)CC(=O)O',), 206)
(5, ('CC(O)(CC=O)CC(=O)O',), ('CC=O', 'CC(=O)CC(=O)O'), 1987)
(4, ('NC(=O)O', 'CC=O'), ('NC(=O)CC=O',), 14968)
(4, ('CC(=O)CC(=O)O',), ('CC(N)CC(=O)O',), 457)
(3, ('CC(N)CC(=O)O',), ('NCCCC(=O)O',), 1579)
(3, ('NC(=O)CC=O', 'NCC(=O)O'), ('NC(=O)CC(O)C(N)C(=O)O',), 1163)
(2, ('NCCCC(=O)O',), ('NCCCC(N)=O',), 80)
(2, ('NC(=O)CC(O)C(N)C(=O)O',), ('NC(=O)CCC(=O)C(=O)O',), 158)
(1, ('NC(=O)CCC(=O)C(=O)O',), ('NC(=O)CCC(N)C(=O)O',), 3)
(1, ('NCCCC(N)=O',), ('NC(=O)CCC(N)C(=O)O',), 7)

(7, ('C=C(C)CCO',), ('CC(O)(CCO)CC(=O)O',), 23)
(6, ('CC(O)(CCO)CC(=O)O',), ('CC(O)(CC=O)CC(=O)O',), 206)
(5, ('CC(O)(CC=O)CC(=O)O',), ('CC=O', 'CC(=O)CC(=O)O'), 1987)
(4, ('NC(=O)O', 'CC=O'), ('NC(=O)CC=O',), 14968)
(4, ('CC(=O)CC(=O)O',), ('CC(N)CC(=O)O',), 457)
(3, ('O=C(O)O', 'CC(N)CC(=O)O'), ('NC(CC(=O)O)CC(=O)O',), 958)
(3, ('NC(=O)CC=O', 'NCC(=O)O'), ('NC(=O)CC(O)C(N)C(=O)O',), 1163)
(2, ('NC(=O)CC(O)C(N)C(=O)O',), ('NC(=O)CC=C(N)C(=O)O',), 141)
(2, ('NC(CC(=O)O)CC(=O)O',), ('NC(=O)CC(N)CC(=O)O',), 77)
(1, ('NC(=O)CC=C(N)C(=O)O',), ('NC(=O)CCC(N)C(=O)O',), 2)
(1, ('NC(=O)CC(N)CC(=O)O',), ('NC(=O)CCC(N)C(=O)O',), 13)

(7, ('C=C(C)CCO',), ('CC(O)(CCO)CC(=O)O',), 23)
(6, ('CC(O)(CCO)CC(=O)O',), ('CC(O)(CC=O)CC(=O)O',), 206)
(5, ('CC(O)(CC=O)CC(=O)O',), ('CC=O', 'CC(=O)CC(=O)O'), 1987)
(4, ('NC(=O)O', 'CC=O'), ('NC(=O)CC=O',), 14968)
(4, ('CC(=O)CC(=O)O',), ('CC(N)CC(=O)O',), 457)
(3, ('O=C(O)O', 'CC(N)CC(=O)O'), ('NC(CC(=O)O)CC(=O)O',), 958)
(3, ('NC(=O)CC=O', 'NCC(=O)O'), ('NC(=O)CC(O)C(N)C(=O)O',), 1163)
(2, ('NC(=O)CC(O)C(N)C(=O)O',), ('NC(=O)CC=C(N)C(=O)O',), 141)
(2, ('NC(CC(=O)O)CC(=O)O',), ('NC(CCC(=O)O)C(=O)O',), 196)
(1, ('NC(=O)CC=C(N)C(=O)O',), ('NC(=O)CCC(N)C(=O)O',), 2)
(1, ('NC(CCC(=O)O)C(=O)O',), ('NC(=O)CCC(N)C(=O)O',), 4)

(7, ('C=C(C)CCO',), ('CC(O)(CCO)CC(=O)O',), 23)
