(5, ('CC(=O)C(=O)O',), ('NC(CO)C(=O)O',), 27)
(4, ('NC(CO)C(=O)O',), ('C=O', 'NCC(=O)O'), 302)
(3, ('C=O', 'O=C(O)C(=O)C(O)C(O)C(O)COP(=O)(O)O'), ('O=C(CO)C(O)C(O)C(O)COP(=O)(O)O',), 853)
(3, ('NCC(=O)O',), ('O=CC(=O)O',), 702)
(2, ('O=C(CO)C(O)C(O)C(O)COP(=O)(O)O',), ('O=P(O)(O)OCC1OC(O)(CO)C(O)C1O',), 71)
(2, ('O=CC(O)C(O)C(O)COP(=O)(O)O', 'O=CC(=O)O'), ('O=CC(O)C(O)C(O)C(O)COP(=O)(O)O',), 202)
(1, ('O=CC(O)C(O)C(O)C(O)COP(=O)(O)O',), ('O=P(O)(O)OCC1OC(O)C(O)C(O)C1O',), 3)
(1, ('O=P(O)(O)OCC1OC(O)(CO)C(O)C1O',), ('O=P(O)(O)OCC1OC(O)C(O)C(O)C1O',), 13)

(5, ('CC(=O)C(=O)O',), ('NC(CO)C(=O)O',), 27)
(4, ('NC(CO)C(=O)O',), ('C=O', 'NCC(=O)O'), 302)
(3, ('C=O', 'O=C(O)C(=O)C(O)C(O)COP(=O)(O)O'), ('O=C(CO)C(O)C(O)COP(=O)(O)O',), 852)
(3, ('NCC(=O)O',), ('O=CC(=O)O',), 702)
(2, ('O=CC(O)C(O)C(O)COP(=O)(O)O', 'O=CC(=O)O'), ('O=CC(O)C(O)C(O)C(O)COP(=O)(O)O',), 202)
(2, ('O=C(CO)C(O)C(O)COP(=O)(O)O',), ('O=P(O)(O)OCC(O)C(O)C(O)CO',), 32)
(1, ('OCC(O)C(O)C(O)O', 'O=P(O)(O)OCC(O)C(O)C(O)CO'), ('O=P(O)(O)OCC1OC(O)C(O)C(O)C1O',), 12)
(1, ('O=CC(O)C(O)C(O)C(O)COP(=O)(O)O',), ('O=P(O)(O)OCC1OC(O)C(O)C(O)C1O',), 3)

(5, ('CC(=O)C(=O)O',), ('NC(CO)C(=O)O',), 27)
(4, ('NC(CO)C(=O)O',), ('C=O', 'NCC(=O)O'), 302)
(3, ('C=O', 'O=C(O)C(=O)C(O)C(O)COP(=O)(O)O'), ('O=C(CO)C(O)C(O)COP(=O)(O)O',), 852)
(3, ('NCC(=O)O',), ('O=CC(=O)O',), 702)
(2, ('O=CC(O)C(O)C(O)COP(=O)(O)O', 'O=CC(=O)O'), ('O=CC(O)C(O)C(O)C(O)COP(=O)(O)O',), 202)
(2, ('O=C(CO)C(O)C(O)COP(=O)(O)O', 'O=COCCOP(=O)(O)O'), ('O=C1C(O)C(O)OC(COP(=O)(O)O)C1O',), 210)
(1, ('O=C1C(O)C(O)OC(COP(=O)(O)O)C1O',), ('O=P(O)(O)OCC1OC(O)C(O)C(O)C1O',), 1)
(1, ('O=CC(O)C(O)C(O)C(O)COP(=O)(O)O',), ('O=P(O)(O)OCC1OC(O)C(O)C(O)C1O',), 3)

(5, ('CC(=O)C(=O)O',), ('NC(CO)C(=O)O',), 27)
(4, ('NC(CO)C(=O)O',), ('C=O', 'NCC(=O)O'), 302)
(3, ('C=O', 'O=C(O)C(=O)C(O)C(O)COP(=O)(O)O'), ('O=C(CO)C(O)C(O)COP(=O)(O)O',), 852)
(3, ('NCC(=O)O',), ('O=CC(=O)O',), 702)
